Reaction,MinFlux,MaxFlux
AD_DHFtm,-0.000181542305426774,0.000155868359626443
AD_DIDPtn,-1000,1000
AD_DIGALSIDEtg,-3.22341875289567e-05,0
AD_DIGALSIDEtl,0,3.22341875289567e-05
AD_DITPtn,-1000,1000
AD_D_LACt2,-754.222617363872,-754.219664896936
AD_D_LACtm,-754.222600255329,-754.219665094815
AD_DLNLCGCPT1,-1000,1000
AD_DLNLCGCPT2,0,3.48324900869557e-05
AD_DLNLCGCRNt,-1000,1000
AD_DM_dctp_m_,0,3.27270441857763e-07
AD_DM_dgpi_prot_hs_r_,0,1.55610468404177e-05
AD_DM_dttp_m_,0,2.17391125545419e-07
AD_DM_gpi_sig_er_,0,1.99777085730564e-05
AD_DM_mem2emgacpail_prot_hs_r_,0,1.99777584048988e-05
AD_DMATTx,0,8.80864702897573e-06
AD_DMNONCOACRNCPT1,-1000,1000
AD_DNDPt23m,0,3.73806396396503e-05
AD_DNDPt28m,0,3.27270441857763e-07
AD_DNDPt39m,0,2.19599323614261e-07
AD_DOLGLCP_Lter,0,6.61002583228765e-05
AD_DOLGPP_Ler,0,6.5536092961338e-05
AD_DOLMANP_Uter,0,7.96856638807242e-05
AD_DOLPMT3_Uer,0,7.96856638807242e-05
AD_DOLPMT4_Uer,0,7.96856638807242e-05
AD_DOPABMO,27.9625053758678,27.9627721020233
AD_DOPAMT,0,4.09832706509405e-05
AD_DOPASFt,0,2.26195149049518e-05
AD_DOPASULT,0,2.26195149049518e-05
AD_DOPAt4_2_r,-1000,1000
AD_DPCOAtl,0,3.64125688747663e-05
AD_DPGase,0,3.63083494221428e-05
AD_DPGM,0,3.63083494221428e-05
AD_DPHMBDCm,0,2.02519076178945e-06
AD_DPMVDx,0,2.64259008382339e-05
AD_DPPS,0,2.02519076178945e-06
AD_DSAT,1.89074626513224,1.89080682887292
AD_DTTPtn,0,1.21213474219526e-08
AD_DUDPtn,0,6.47522318431015e-07
AD_DUMPtn,-6.47522318431015e-07,0
AD_DURIK1,0,1000
AD_DURIK1m,0,6.10873521509347e-05
AD_DUTPDPm,0,9.43807492035376e-05
AD_DUTPDPn,0,6.47522318431015e-07
AD_EBP2r,0,4.39171753496836e-06
AD_ECOAH12m,0,0.000491812569782377
AD_ECOAH1m,-0.000180157825980132,0
AD_ECOAH1x,-249.508972417233,-249.504355380359
AD_ECOAH9m,-0.000413487357519671,0.00010038148303602
AD_EICOSTETCPT1,0,3.40642575594075e-05
AD_EICOSTETCPT2,0,3.40643253407184e-05
AD_EICOSTETCRNt,-1000,1000
AD_ELAIDCPT2,-0.000223880307129942,0
AD_ELAIDCRNt,-1000,1000
AD_ESTRADIOLtr,0,2.35692817796007e-05
AD_ESTRIOLtr,0,0
AD_ESTRONESt,-1000,0
AD_ESTSULT,0,2.35639636230189e-05
AD_ETF,0,228.944739663786
AD_ETFQO,0,228.944739663786
AD_ETHAK,44.7180497271142,44.7183342263375
AD_ETHP,0,3.66188107392418e-05
AD_FACOAL150,0,6.13075103501615e-05
AD_FACOAL160i,0,6.71919341357352e-05
AD_FACOAL170,0,6.11336367484228e-05
AD_FACOAL180i,0,2.33474557274071e-05
AD_FACOAL1812,0,4.78973391295767e-05
AD_FACOAL1813,0,5.15860250516198e-05
AD_FACOAL181i,0,6.05215586233498e-05
AD_FACOAL1821,0,6.82811103729364e-05
AD_FACOAL1822,0,6.1141839580614e-05
AD_FACOAL1831,0,6.11336392140061e-05
AD_FACOAL1832,0,6.83363292637296e-05
AD_FACOAL184,0,6.10349602965243e-05
AD_FACOAL200,0,4.23109880891559e-05
AD_FACOAL203,0,6.1330096571055e-05
AD_FACOAL204,0,6.0687643419044e-05
AD_FACOAL2042,0,6.1307276574496e-05
AD_FACOAL205,0,6.899881566369e-05
AD_FACOAL224,0,6.05640207709257e-05
AD_FACOAL2251,0,6.05640073274571e-05
AD_FACOAL2252,0,6.05640116191353e-05
AD_FACOAL226,0,6.05639995683305e-05
AD_FACOAL240,0,6.29207269184917e-05
AD_FACOAL241,0,0
AD_FACOAL244_1,0,6.05639995683305e-05
AD_FACOAL245_1,0,6.05639995683305e-05
AD_FACOAL245_2,0,6.05639995683305e-05
AD_FACOAL246_1,0,6.05639995683305e-05
AD_FACOAL260,0,6.05640020410192e-05
AD_FADH2tru,0,1000
AD_FADtru,0,1000
AD_FAEL183,0,3.14850100361734e-05
AD_FAEL184,0,3.11547282137781e-05
AD_FAEL204,0,1.82062000511588e-05
