Reaction,MinFlux,MaxFlux
AD_ACRNtm,-1000,0.00709854918181918
AD_ACS2,0,0.000231052850999447
AD_ACt2m,-0.00298173577107264,0
AD_ACtg,-1.54535716774262e-05,0
AD_ACTNMO,0,0.00185359518051842
AD_ADCim,0,0.00185359518051842
AD_ADEt,-375.147274859293,-375.143295230264
AD_ADK1m,-1000,1000
AD_ADK3,-1000,984.807534042975
AD_ADK3m,-1000,1000
AD_ADKd,-1000,1000
AD_ADMDC,0,8.94453752291469e-05
AD_ADNCYC,0,0.000231052984915436
AD_ADNt,-1000,1000
AD_ADNtl,0,333.292562862615
AD_ADNtm,-0.000346579272104464,0
AD_ADRNCOAtx,0,8.98329863048275e-05
AD_ADRNCPT1,0,8.41017546235889e-05
AD_ADRNCPT2,0,8.41017646280307e-05
AD_ADRNCRNt,-1000,1000
AD_ADSK,0,8.92080751100366e-05
AD_ADSL1,0,0.00010295114622938
AD_ADSL2,0,3.06284647422217e-05
AD_AG13T16g,0,6.89492518822301e-06
AD_AG13T17g,0,6.89492518822301e-06
AD_AG13T18g,0,6.89492518822301e-06
AD_AG13T1g,0,7.4910436648368e-06
AD_AG13T2g,0,7.4910436648368e-06
AD_AG13T3g,0,7.4910436648368e-06
AD_AGPAT1,0.315162920879165,0.315338852921708
AD_AHCYStr,-0.00090005117021974,0
AD_AIRCr,0,3.06284647422217e-05
AD_AKGDm,0,0.00252977356588246
AD_AKGMALtm,-1000,1000
AD_ALAASNNaEx,0,1000
AD_ALACYSNaEx,0,1000
AD_ALAGLNNaEx,0,1000
AD_ALASERNaEx,0,1000
AD_ALASm,0,1000
AD_ALAt4,0,1000
AD_ALATA_L,-310.587521626599,-310.568044572401
AD_ALATHRNaEx,0,1000
AD_ALCD21_D,0,1000
AD_ALCD21_L,0,1000
AD_ALCD22_D,0,1000
AD_ALCD22_L,0,1000
AD_ALDD20x,0,0.000318447058131888
AD_ALDD20xm,0,0.000218202152151292
AD_ALDD21,0,0.00263853456095831
AD_ALDD2xm,0,0.00298173577101579
AD_ALDD2y,0,0.0029817365751228
AD_ALOX5,0,0.00139982876646627
AD_ALOX52,0,337.781921441555
AD_ALR2,0,1000
AD_ALR3,0,1000
AD_AMACR2p,278.773133195477,278.778749226529
AD_AMETr,0,0.00090005117021974
AD_AMETt2m,0,0.00018904324599589
AD_AMPDA,253.898914956025,253.906804523876
AD_AOBUTDsm,754.216103193864,754.227315011888
AD_APOCF,0,0.000231052843105317
AD_APOCFm,0,0.000346579277447745
AD_APOC_LYS_BTNP,0,0.000231052843105317
AD_APOC_LYS_BTNPm,0,0.000346579277447745
AD_APRTO2,0,0.000276511464559981
AD_ARACHCPT1,-0.000132616658561346,0.000161087082801714
AD_ARACHCPT2,-0.00013261672313547,0.000161087151013817
AD_ARACHCRNt,-1000,1000
AD_ARACHDt2,-0.000231052849358093,0.00139982839493769
AD_ARACHDtr,0,0.000679177213783078
AD_ARACHt,0,0.000161087104743274
AD_ARGLYSex,0,1000
AD_ARGSS,0,0.000193119839480005
AD_ARSA,0,8.66448187935021e-05
AD_R_group_phosphotase_1,2.20592600990086,2.20617383090287
AD_R_group_phosphotase_2,0.315162920897245,0.315427523518814
AD_R_group_phosphotase_3,30.5674209234687,30.5676928291387
AD_ARTPLM3,0,0.00700882996194352
AD_ARTPLM3m,30.5604529425212,30.5675371655945
AD_ASAH1,0,0.000112640245674811
AD_ASCBt,-1000,1000
AD_ASCBt4,-1000,1000
AD_ASNALANaEx,0,1000
AD_ASNCYSNaEx,0,1000
AD_ASNGLNNaEx,0,1000
AD_ASNSERNaEx,0,1000
AD_ASNTHRNaEx,0,1000
AD_ASPDt6,0,1000
AD_ASPt6,0,1000
AD_ATP1ter,0,0.000145312264521635
AD_ATP2ter,2.2059260098996,2.20619600569285
AD_ATPH1e,0,31.8559904394872
AD_ATPH2e,0,31.855990439498
AD_ATPtm,999.99930684091,1000
AD_B3GALT3g,0,3.70547239126514e-05
AD_B3GALT41g,0,3.51743979237598e-05
AD_B3GALT5g,0,3.35497630739056e-05
AD_BAAT3x,278.773133195477,278.778749226529
AD_BACCL,0,0.000231052843105317
AD_BACCLm,0,0.000346579277447745
AD_BAMPPALDOX,0,8.64786480594404e-05
AD_BHMT,9.99981661678581,10
AD_BILDGLCURte,0,0.000138631707295644
AD_BILGLCURtr,0,0.00117884729081652
AD_BILIRED,0,1.85694202089881e-05
AD_BILIRUBt2,-1.85694108267853e-05,0
AD_BILIRUBtr,-0.0011788469861358,0
AD_BIOCYTtn,0,0.000231052849585467
AD_BMTer_U,0,7.52901967402408e-05
AD_BTND1,0,0.000231052832759815
AD_BTND1n,0,0.000231052849585467
AD_BTNDm,0,0.000346579277447745
AD_BTNPL,0,0.000231052843105317
AD_BTNPLm,0,0.000346579277447745
AD_BTNt2,-1000,0
AD_BTNt3i,0,0.000138631709447168
AD_BTNt4i,0,1000
AD_BTNtn,-0.000231052849585467,0
AD_C14STRr,0,1.67681454519939e-05
AD_C160CRNt,-1000,1000
AD_C161CPT12,0,0.000231052972253565
AD_C161CPT2,0,0.00263853458568519
AD_C161CPT22,-0.00219549166092747,0.00206013397416882
AD_C161CRN2t,-1000,1000
AD_C161CRNt,0,0.00263853458568519
AD_C180CPT1,218.930186813511,218.94016508283
AD_C180CPT2,218.930186811362,218.940165081306
AD_C180CRNt,-781.069813186472,1000
AD_C181CRNt,-1000,1000
