Reaction,EssentialityDrop,FluxSpan,ImportanceScore
HMR_3115,3.42868212313699e-05,6.96477218298241e-06,143554.179911556
HMR_3116,3.42868212313699e-05,6.96486046081191e-06,143552.360660153
HMR_3117,3.42868212313699e-05,6.96486046081191e-06,143552.360660153
HMR_3118,3.42868212313699e-05,6.96486046081191e-06,143552.360660153
HMR_3229,3.42868212313699e-05,1.19917442020778e-06,833183.657593408
HMR_3240,3.42868212313699e-05,1.35069922180264e-06,739784.189448006
HMR_3241,3.42868212313699e-05,1.35069922180264e-06,739784.189448006
HMR_3242,3.42868212313699e-05,1.35069922180264e-06,739784.189448006
HMR_3243,3.42868212313699e-05,1.35069922180264e-06,739784.189448006
HMR_3321,3.42868212313699e-05,2.43402337218868e-06,410659.595550398
HMR_3322,3.42868212313699e-05,1.2170112692426e-06,820982.316362788
HMR_3326,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3327,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3328,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3329,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3330,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3331,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3332,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3333,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3334,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3335,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3336,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3337,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3338,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3339,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3340,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3341,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3342,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3343,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3344,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3345,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3346,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3347,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3348,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3349,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3350,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3351,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3352,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3353,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_3491,3.42868212313699e-05,547.85893903748,0.00182522478310522
HPDCACRNt,3.42868212313699e-05,2000,0.000499982856589134
LNLCCRNt,3.42868212313699e-05,2000,0.000499982856589134
LNLNCGCPT1,3.42868212313699e-05,2000,0.000499982856589134
LNLNCGCRNt,3.42868212313699e-05,2000,0.000499982856589134
PCRNtc,3.42868212313699e-05,1.80410058874259e-05,55424.309215844
PTDCACRNt,3.42868212313699e-05,2000,0.000499982856589134
PTE3x,3.42868212313699e-05,547.85893903748,0.00182522478310522
RE0578C,3.42868212313699e-05,547.85893922842,0.0018252247824691
RE1518X,3.42868212313699e-05,1.21702059156329e-06,820976.032839759
RE1520X,3.42868212313699e-05,1.21702055366768e-06,820976.058382341
RE1521X,3.42868212313699e-05,1.21702055366768e-06,820976.058382341
RE1522X,3.42868212313699e-05,1.21702055366768e-06,820976.058382341
RE1525X,3.42868212313699e-05,1.21702055366768e-06,820976.058382341
RE1526X,3.42868212313699e-05,1.21702055366768e-06,820976.058382341
RE1527X,3.42868212313699e-05,1.21702055366768e-06,820976.058382341
RE1532X,3.42868212313699e-05,1.21702055366768e-06,820976.058382341
RE1533X,3.42868212313699e-05,1.21702055366768e-06,820976.058382341
RE1534X,3.42868212313699e-05,1.21702055366768e-06,820976.058382341
RE1573X,3.42868212313699e-05,1.21702055366768e-06,820976.058382341
RE2759X,3.42868212313699e-05,547.85893903748,0.00182522478310522
RE2985X,3.42868212313699e-05,1.21701326349921e-06,820980.972166085
RE2986X,3.42868212313699e-05,1.21701327771007e-06,820980.962587502
RE2987X,3.42868212313699e-05,1.21701327771007e-06,820980.962587502
RE2988X,3.42868212313699e-05,1.21701327771007e-06,820980.962587502
RE2989X,3.42868212313699e-05,1.21701327771007e-06,820980.962587502
RE2990X,3.42868212313699e-05,1.21701327771007e-06,820980.962587502
RE2991X,3.42868212313699e-05,1.21701327771007e-06,820980.962587502
RE2992X,3.42868212313699e-05,1.21701327771007e-06,820980.962587502
RE2993X,3.42868212313699e-05,1.21701327771007e-06,820980.962587502
RE2994X,3.42868212313699e-05,1.21701326349921e-06,820980.972166085
RE2996X,3.42868212313699e-05,1.21701327771007e-06,820980.962587502
RE2997X,3.42868212313699e-05,1.21701326349921e-06,820980.972166085
RE2998M,3.42868212313699e-05,9.46186833061802e-06,105672.580262296
RE3074X,3.42868212313699e-05,547.85893903748,0.00182522478310522
RE3103C,3.42868212313699e-05,1.2170121692634e-06,820981.70971765
RE3104C,3.42868212313699e-05,1.21701214084169e-06,820981.728874851
RE3224C,3.42868212313699e-05,9.65014839948708e-06,103611.059719267
RE3225C,3.42868212313699e-05,9.65003226838235e-06,103612.306473655
RE3226C,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
RE3227C,3.42868212313699e-05,9.65014828580024e-06,103611.060939766
RE3228C,3.42868212313699e-05,9.65014828580024e-06,103611.060939766
RE3229C,3.42868212313699e-05,9.65014828580024e-06,103611.060939766
RE3230C,3.42868212313699e-05,9.65003209785209e-06,103612.308304447
RE3231C,3.42868212313699e-05,9.65003209785209e-06,103612.308304447
RE3232C,3.42868212313699e-05,9.65003209785209e-06,103612.308304447
RE3234C,3.42868212313699e-05,1.19491960504092e-06,836147.939179031
RE3235C,3.42868212313699e-05,1.19491960504092e-06,836147.939179031
RE3236C,3.42868212313699e-05,1.19491960504092e-06,836147.939179031
RE3239C,3.42868212313699e-05,1.00337106232473e-05,99650.6776052074
STRDNCCRNt,3.42868212313699e-05,1931.06392818156,0.000517831491016404
r0308,3.42868212313699e-05,2.67388850261341e-06,373834.540094582
r0309,3.42868212313699e-05,6.96479605721834e-06,143553.687900832
r0432,3.42868212313699e-05,1.79577327799052e-05,55681.3069960968
r0444,3.42868212313699e-05,1.59592277526599e-06,626182.886653495
