commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
GN_HMR_2219,3.23792355802643e-06,Unchanged
GN_HMR_2374,3.50600849620603e-06,Unchanged
GN_HMR_2376,3.50600849620603e-06,Unchanged
GN_HMR_2704,0,Unchanged
GN_HMR_2744,386723.470661091,Upregulated
GN_HMR_2753,10330.1048495974,Upregulated
GN_HMR_2760,10330.1049169463,Upregulated
GN_HMR_2817,0,Unchanged
GN_HMR_3057,3.23792355802643e-06,Unchanged
GN_HMR_3058,3.23792355802643e-06,Unchanged
GN_HMR_3059,3.23792355802643e-06,Unchanged
GN_HMR_3062,3.23792355802643e-06,Unchanged
GN_HMR_3063,3.23792355802643e-06,Unchanged
GN_HMR_3064,3.23792355802643e-06,Unchanged
GN_HMR_3065,3.23792355802643e-06,Unchanged
GN_HMR_3066,3.23792355802643e-06,Unchanged
GN_HMR_3067,3.23792355802643e-06,Unchanged
GN_HMR_3068,3.23792355802643e-06,Unchanged
GN_HMR_3069,3.23792355802643e-06,Unchanged
GN_HMR_3070,3.23792355802643e-06,Unchanged
GN_HMR_3071,3.23792355802643e-06,Unchanged
GN_HMR_3072,3.23792355802643e-06,Unchanged
GN_HMR_3073,3.23792355802643e-06,Unchanged
GN_HMR_3107,0,Unchanged
GN_HMR_3108,0,Unchanged
GN_HMR_3109,0,Unchanged
GN_HMR_3110,0,Unchanged
GN_HMR_3111,0,Unchanged
GN_HMR_3112,0,Unchanged
GN_HMR_3113,0,Unchanged
GN_HMR_3114,0,Unchanged
GN_HMR_3115,0,Unchanged
GN_HMR_3116,0,Unchanged
GN_HMR_3117,0,Unchanged
GN_HMR_3118,0,Unchanged
GN_HMR_3322,1.87926228624518,Unchanged
GN_HMR_7703,NaN,Unchanged
GN_LINKDEG4ly,NaN,Unchanged
GN_LNELDCCPT1,0.00855467075367473,Unchanged
GN_LNLNCGCRNt,9737.66515457126,Upregulated
GN_MLTHFtm,NaN,Unchanged
GN_NACHEXA7ly,NaN,Unchanged
GN_NACHEXA8ly,NaN,Unchanged
GN_NAGA2ly,0.110959471009675,Downregulated
GN_NAGLCAly,0.110959471009675,Downregulated
GN_NEU11l,0.692073001829229,Unchanged
GN_O2Stm,0.0428152363380639,Downregulated
GN_OCT11EFATP,0.00622923298028189,Unchanged
GN_OLEICFATPtc,0.0566439610651031,Downregulated
GN_PAPStg,0.103440009453034,Downregulated
GN_PAPtg,0.103440007776241,Downregulated
GN_PGS,NaN,Unchanged
GN_PGSr,NaN,Unchanged
GN_PUNP4,7602.94273847832,Upregulated
GN_RE0574C,3.23792355918892e-06,Unchanged
GN_RE0575C,3.23792355918892e-06,Unchanged
GN_RE0576C,3.23792355918892e-06,Unchanged
GN_RE0578C,0.232601934952853,Downregulated
GN_RE1342C,1.23079332047835,Unchanged
GN_RE1518X,1.87926228624518,Unchanged
GN_RE1520X,1.87926228625108,Unchanged
GN_RE1521X,1.87926228625108,Unchanged
GN_RE1522X,1.87926228625108,Unchanged
GN_RE1525X,1.87926228625108,Unchanged
GN_RE1526X,1.87926228625108,Unchanged
GN_RE1527X,1.87926228625108,Unchanged
GN_RE1532X,1.87926228625108,Unchanged
GN_RE1533X,1.87926228625108,Unchanged
GN_RE1534X,1.87926228625108,Unchanged
GN_RE1573X,1.87926228625108,Unchanged
GN_RE1796R,2544981.32113787,Upregulated
GN_RE2069C,NaN,Unchanged
GN_RE2954C,0.172092555388481,Downregulated
GN_RE3103C,3.50600849620603e-06,Unchanged
GN_RE3104C,3.50600849662875e-06,Unchanged
GN_RE3119C,7.36784433382389e-06,Unchanged
GN_RE3120C,7.36784433382389e-06,Unchanged
GN_RE3121C,7.36784433382389e-06,Unchanged
GN_RE3122C,7.36784433382389e-06,Unchanged
GN_SADT,0.103440009430579,Downregulated
GN_SO4tl,0.103440010695851,Downregulated
GN_SPHMYLN_HsATPte,0.0979812604895526,Downregulated
GN_TAURtcx,0.708794971600844,Unchanged
GN_THCHOLSTOICt,276605.603122849,Upregulated
GN_THMDt2r,1561102.80490731,Upregulated
GN_UAGALDP,0.6920729992968,Unchanged
GN_UDPGALtg,0.0548351886424602,Downregulated
GN_UGALNACtg,0.110959471754683,Downregulated
GN_XOL7AH3t,138304.846746862,Upregulated
GN_pac,NaN,Unchanged
GN_r0178,0.689463944998201,Unchanged
GN_r0394,34.0969515340542,Upregulated
GN_r0409,1.00130059536702,Unchanged
GN_r0431,0.0114687682698117,Downregulated
GN_r0432,0.0114687682698317,Downregulated
GN_r0444,3.13754516865063e-07,Unchanged
GN_r0610,5.54613539572283e-06,Unchanged
GN_r0611,5.5461353955743e-06,Unchanged
GN_r1000,3.13754516865063e-07,Unchanged
GN_r1005,0.0114687682698317,Downregulated
GN_r1253,0,Unchanged
GN_r1364,0.13986878587184,Downregulated
GN_r1365,0.13986878587184,Downregulated
GN_r1487,3.13754516865063e-07,Unchanged
GN_r2145,0.5,Downregulated
GN_r2329,NaN,Unchanged
GN_r2502,1.87926245497236,Unchanged
GN_r2503,0.0449722863898372,Downregulated
