commonRxns,FSR_BASE_PC,Status_BASE_PC
OO_DM_15HPET[r],9.27245166253958e-06,Unchanged
OO_DM_15HPET[x],0.0462707125319195,Downregulated
OO_DM_melanin_c_,9.91284588149843e-07,Unchanged
OO_DOCOSACTDe,0.127955714178786,Downregulated
OO_DOPAQNISO1,9.91284630365592e-07,Unchanged
OO_FADDPle,NaN,Unchanged
OO_FAEL184,0.0350630509724767,Downregulated
OO_FAOXC101C102m,0.0529607045680538,Downregulated
OO_FAOXC102C103x,0.0977838879027879,Downregulated
OO_FAOXC102C81x,0.0978110670805679,Downregulated
OO_FAOXC102x,0.0977838879027879,Downregulated
OO_FAOXC103C102x,0.0977838879027879,Downregulated
OO_FAOXC123C102x,0.0977838879027879,Downregulated
OO_FAOXC123x,0.0977838879027879,Downregulated
OO_FAOXC143C123x,0.0977838879027879,Downregulated
OO_FAOXC164C143x,0.0977838879027879,Downregulated
OO_FAOXC164C165x,0.0977838879027879,Downregulated
OO_FAOXC164x,0.0977838879027879,Downregulated
OO_FAOXC165C164x,0.0977838879027879,Downregulated
OO_FAOXC184C164m,0.0441837439457353,Downregulated
OO_FAOXC184C164x,0.0977838879027879,Downregulated
OO_FAOXC2051843x,0.0977838879027879,Downregulated
OO_FAOXC61x,0.0977838879027879,Downregulated
OO_FAOXC81C61x,0.0977838879027879,Downregulated
OO_FATP6t,1443881.24768649,Upregulated
OO_FMNALKPle,NaN,Unchanged
OO_FUMSO3tm,NaN,Unchanged
OO_GALGLUSIDEtg,0.192323441724283,Downregulated
OO_GLA2l,0.0248822251682239,Downregulated
OO_GLAl,0.115305640699789,Downregulated
OO_GLCAASE4ly,0.048937876764662,Downregulated
OO_GLCAASE5ly,0.0489378787893903,Downregulated
OO_GLCt4,1239193.09293416,Upregulated
OO_GNDc,0.0216191863985748,Downregulated
OO_HDD2COAtx,0.0445513403386572,Downregulated
OO_HMR_0276,0.0638897523839044,Downregulated
OO_HMR_0392,0.00643356233655232,Unchanged
OO_HMR_0482,2.18371441356398e-08,Unchanged
OO_HMR_0839,0.00406302134737317,Unchanged
OO_HMR_0854,0.00406302134737317,Unchanged
OO_HMR_0986,9.27245072351828e-06,Unchanged
OO_HMR_0987,0.0462707125319195,Downregulated
OO_HMR_3094,NaN,Unchanged
OO_HMR_3095,NaN,Unchanged
OO_HMR_3096,NaN,Unchanged
OO_HMR_3097,NaN,Unchanged
OO_HMR_3230,0.0669881474566774,Downregulated
OO_HMR_3231,0.0669881474566774,Downregulated
OO_HMR_3232,0.0669881474566774,Downregulated
OO_HMR_3233,0.0669881474566774,Downregulated
OO_HMR_3296,0.0529607045680538,Downregulated
OO_HMR_3452,0.0396718831308026,Downregulated
OO_HMR_3453,0.0396718831308026,Downregulated
OO_HMR_3454,0.0396718831308026,Downregulated
OO_HMR_3456,0.0396718831308026,Downregulated
OO_HMR_3457,0.0396718831308026,Downregulated
OO_HMR_4630,8.08204882493583e-08,Unchanged
OO_HMR_6362,0.00516359853624586,Unchanged
OO_ICDHyp,NaN,Unchanged
OO_LACZe,0.0464732644244398,Downregulated
OO_LINKDEG2ly,0.0489378831275299,Downregulated
OO_LTC4CP,0.5,Downregulated
OO_MLTHFte2,1.00000021692782,Unchanged
OO_NACHEX1ly,0.048937876764662,Downregulated
OO_NACHEX2ly,0.0489378831275299,Downregulated
OO_NACHEXA3ly,0.0489378787893903,Downregulated
OO_NACHEXA4ly,0.0489378787893903,Downregulated
OO_NACSMCTte,0.0525897230686591,Downregulated
OO_NDPK7n,6.55408593813001e-06,Unchanged
OO_NTD7e,0.00738738417100161,Unchanged
OO_OCCOAtm,1.64619800748511e-06,Unchanged
OO_P4507B12r,NaN,Unchanged
OO_PA_HStm,0.0145311554446481,Downregulated
OO_PGI,0.0142907537082108,Downregulated
OO_PGLc,0.0216191864580129,Downregulated
OO_PTVSTtep,1.08757722500741e-07,Unchanged
OO_RE1520M,0.0529607113837943,Downregulated
OO_RE1522M,0.0529607165386263,Downregulated
OO_RE1525M,0.0529607165386263,Downregulated
OO_RE1527M,0.0529607113837943,Downregulated
OO_RE1532M,0.0529607165386263,Downregulated
OO_RE1534M,0.0529607113837943,Downregulated
OO_RE2992M,0.0396718831308026,Downregulated
OO_RE3174C,0.083414538526878,Downregulated
OO_RE3175C,0.0834145385303011,Downregulated
OO_RSVtev,1.08739113215961e-07,Unchanged
OO_S4TASE1ly,0.0489378767666538,Downregulated
OO_S4TASE2ly,0.0489378831295217,Downregulated
OO_SARDHm,0.108771623034782,Downregulated
OO_SIAT9g,0.0442813521363755,Downregulated
OO_ST8SIA12,0.0442813521363755,Downregulated
OO_TMNDNCCOAtx,0.0977838879275502,Downregulated
OO_TYRASE,9.91284588149843e-07,Unchanged
OO_UPPN,NaN,Unchanged
OO_XOL7AONEtr,NaN,Unchanged
OO_XOLTRI27tc,NaN,Unchanged
OO_XYLK,0.0240600101292974,Downregulated
OO_r0173,0.0364173077569726,Downregulated
OO_r0249,281794.039156368,Upregulated
OO_r0488,8.76123285932928e-08,Unchanged
OO_r0595,NaN,Unchanged
