commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
GN_HMR_2374,3.28850802380003e-06,Unchanged
GN_HMR_2376,3.28850802380003e-06,Unchanged
GN_HMR_2704,0,Unchanged
GN_HMR_2744,386723.470661091,Upregulated
GN_HMR_2753,10330.1048495974,Upregulated
GN_HMR_2760,10330.1049169463,Upregulated
GN_HMR_2817,0,Unchanged
GN_HMR_3057,3.00044304917191e-06,Unchanged
GN_HMR_3058,3.00044304917191e-06,Unchanged
GN_HMR_3059,3.00044304917191e-06,Unchanged
GN_HMR_3062,3.00044304917191e-06,Unchanged
GN_HMR_3063,3.00044304917191e-06,Unchanged
GN_HMR_3064,3.00044304917191e-06,Unchanged
GN_HMR_3065,3.00044304917191e-06,Unchanged
GN_HMR_3066,3.00044304917191e-06,Unchanged
GN_HMR_3067,3.00044304917191e-06,Unchanged
GN_HMR_3068,3.00044304917191e-06,Unchanged
GN_HMR_3069,3.00044304917191e-06,Unchanged
GN_HMR_3070,3.00044304917191e-06,Unchanged
GN_HMR_3071,3.00044304917191e-06,Unchanged
GN_HMR_3072,3.00044304917191e-06,Unchanged
GN_HMR_3073,3.00044304917191e-06,Unchanged
GN_HMR_3107,0,Unchanged
GN_HMR_3108,0,Unchanged
GN_HMR_3109,0,Unchanged
GN_HMR_3110,0,Unchanged
GN_HMR_3111,0,Unchanged
GN_HMR_3112,0,Unchanged
GN_HMR_3113,0,Unchanged
GN_HMR_3114,0,Unchanged
GN_HMR_3115,0,Unchanged
GN_HMR_3116,0,Unchanged
GN_HMR_3117,0,Unchanged
GN_HMR_3118,0,Unchanged
GN_HMR_3322,1.8315453885665,Unchanged
GN_HMR_7703,NaN,Unchanged
GN_LINKDEG4ly,NaN,Unchanged
GN_LNELDCCPT1,0.00795447133732192,Unchanged
GN_LNLNCGCRNt,9737.66515457126,Upregulated
GN_MLTHFtm,NaN,Unchanged
GN_NACHEXA7ly,NaN,Unchanged
GN_NACHEXA8ly,NaN,Unchanged
GN_NAGA2ly,0.105775132943807,Downregulated
GN_NAGLCAly,0.105775132943807,Downregulated
GN_NEU11l,0.660512742138662,Unchanged
GN_O2Stm,0.0481912035221598,Downregulated
GN_OCT11EFATP,0.00581349542708218,Unchanged
GN_OLEICFATPtc,0.0533950861700642,Downregulated
GN_PAPStg,0.0981858252108936,Downregulated
GN_PAPtg,0.0981858257894175,Downregulated
GN_PGS,NaN,Unchanged
GN_PGSr,NaN,Unchanged
GN_PUNP4,7921.97770712579,Upregulated
GN_RE0574C,3.00044304917192e-06,Unchanged
GN_RE0575C,3.00044304917192e-06,Unchanged
GN_RE0576C,3.00044304917192e-06,Unchanged
GN_RE0578C,0.214877104357248,Downregulated
GN_RE1342C,0.000173943436863027,Unchanged
GN_RE1518X,1.8315453885665,Unchanged
GN_RE1520X,1.83154538857829,Unchanged
GN_RE1521X,1.83154538857829,Unchanged
GN_RE1522X,1.83154538857829,Unchanged
GN_RE1525X,1.83154538857829,Unchanged
GN_RE1526X,1.83154538857829,Unchanged
GN_RE1527X,1.83154538857829,Unchanged
GN_RE1532X,1.83154538857829,Unchanged
GN_RE1533X,1.83154538857829,Unchanged
GN_RE1534X,1.83154538857829,Unchanged
GN_RE1573X,1.83154538857829,Unchanged
GN_RE1796R,2544981.32113787,Upregulated
GN_RE2069C,NaN,Unchanged
GN_RE2954C,0.163801514039171,Downregulated
GN_RE3103C,3.28850802380003e-06,Unchanged
GN_RE3104C,3.28850802460521e-06,Unchanged
GN_RE3119C,6.89216345415662e-06,Unchanged
GN_RE3120C,6.89216345415662e-06,Unchanged
GN_RE3121C,6.89216345415662e-06,Unchanged
GN_RE3122C,6.89216345415662e-06,Unchanged
GN_SADT,0.0981858251956506,Downregulated
GN_SO4tl,0.0981858293584092,Downregulated
GN_SPHMYLN_HsATPte,0.0933914749233669,Downregulated
GN_TAURtcx,0.708794971600844,Unchanged
GN_THCHOLSTOICt,276605.603122849,Upregulated
GN_THMDt2r,1561102.80490731,Upregulated
GN_UAGALDP,0.660512754749438,Unchanged
GN_UDPGALtg,0.0522962428437367,Downregulated
GN_UGALNACtg,0.105775137088171,Downregulated
GN_XOL7AH3t,138304.732979457,Upregulated
GN_pac,NaN,Unchanged
GN_r0178,0.688067124122792,Unchanged
GN_r0394,35.5281472673753,Upregulated
GN_r0409,1.00130054355455,Unchanged
GN_r0431,0.0111077812512312,Downregulated
GN_r0432,0.0111077812512507,Downregulated
GN_r0444,2.9477428147387e-07,Unchanged
GN_r0610,5.46458988174224e-06,Unchanged
GN_r0611,5.46458988144518e-06,Unchanged
GN_r1000,2.9477428147387e-07,Unchanged
GN_r1005,0.0111077812512507,Downregulated
GN_r1253,0,Unchanged
GN_r1364,0.132315195318256,Downregulated
GN_r1365,0.132315195318256,Downregulated
GN_r1487,2.9477428147387e-07,Unchanged
GN_r2145,0.5,Downregulated
GN_r2329,NaN,Unchanged
GN_r2502,1.83154557386072,Unchanged
GN_r2503,0.0428094634830279,Downregulated
GN_r2514,2.94774281415098e-07,Unchanged
GN_sink_4abut[l],0.379701773822708,Downregulated
GN_sink_dhcholestanate[c],94676.4713516057,Upregulated
GN_sink_lnlncacoa[c],1.98242401803047e-06,Unchanged
GN_sink_phe_L[c],68419240.5471342,Upregulated
GN_sink_ser_L[c],60988.7286207555,Upregulated
OO_3SALATAi,NaN,Unchanged
OO_3SALATAim,NaN,Unchanged
OO_3SPYRSP,NaN,Unchanged
OO_3SPYRSPm,NaN,Unchanged
OO_ACACT6p,0.473921013005706,Downregulated
OO_ACACT7p,0.473921013005706,Downregulated
OO_ACALDt,0.000113838545152503,Unchanged
OO_ACGAM2E,NaN,Unchanged
OO_ALOX15,NaN,Unchanged
OO_BDHm,1.18283245047055,Unchanged
OO_BETBGTtc,2.3563300320487,Upregulated
OO_BHBtm,1.18283245047055,Unchanged
OO_BHMT,0.807759226898856,Unchanged
OO_C05769te2,NaN,Unchanged
OO_C40CPT1,NaN,Unchanged
OO_C4tcx,8.50856781984042,Upregulated
